@relation 'ctc'
@attribute TP_FP real
@attribute FEATURE_1 real
@attribute FEATURE_2 real
@attribute FEATURE_3 real
@data
1,35.7805,4.54079,0.97218
1,40.8818,7.94033,-5.75232
1,43.0743,-15.3538,7.48731
1,49.3849,-14.5238,10.404
1,50.7134,-12.8167,5.7233
1,52.2076,-18.099,10.1339
1,52.126,-17.7655,8.04488
1,51.7755,-26.3207,9.46959
1,3.57482,-0.798392,0.604305
1,53.7229,-19.1268,7.63574
1,49.7283,-36.358,6.54694
1,2.9302,1.52938,0.177032
1,37.9104,-31.4415,-18.894
1,38.1223,-32.4028,-17.4839
1,40.0178,-24.5996,2.37351
1,59.6999,26.1382,-1.91572
1,53.935,-14.8322,12.4465
1,46.4907,-43.2803,3.93914
1,4.84017,-3.04922,0.685919
1,40.9431,-18.6338,-17.3872
1,41.3707,-22.0841,-9.38116
1,43.3623,13.9811,-13.7042
1,54.5825,34.953,-0.167018
1,64.2628,35.0082,9.67743
1,50.7665,25.5738,-6.19115
1,-46.0205,44.1867,15.8311
1,7.98874,1.53662,-1.17896
1,66.2885,38.3295,6.87502
1,62.6093,41.5126,13.6115
1,45.6006,33.5209,-7.68993
1,-50.7853,43.2901,21.9151
1,9.41978,2.83262,-0.81774
1,63.5996,32.0924,-2.22149
1,64.9704,37.854,6.2755
1,48.331,44.8024,9.4304
1,-56.5138,38.9804,7.08229
1,12.294,1.74594,-0.384403
1,62.378,21.849,1.94219
1,61.6393,28.7301,3.32877
1,49.9933,40.5874,6.05096
1,-61.6634,31.4281,-14.6809
1,17.7467,-1.90444,1.63022
1,51.5106,-15.4024,6.54744
1,55.4739,-17.8042,9.4492
1,54.9305,-15.4322,14.9405
1,46.2848,25.2631,-14.1889
1,-67.6234,-34.7525,18.7953
1,20.238,-4.35235,3.01833
1,51.8788,-20.8092,9.62447
1,52.1693,-30.1271,10.5482
1,47.4582,-37.5763,14.3569
1,-43.2023,39.7918,19.3691
1,-49.2153,42.4081,6.08294
1,-56.2014,36.2668,-16.3064
1,-65.5561,-34.7991,18.6552
1,-65.4921,-40.6754,5.95254
1,5.10246,-3.37563,-1.49035
1,-5.27868,-1.95917,1.44833
1,-3.50433,-2.08412,0.350479
1,-3.67847,2.73917,-0.96442
1,-4.0841,1.84509,-1.74064
1,-5.28282,2.82736,-2.5084
1,6.22689,-3.84136,1.25283
1,12.5207,2.61049,-2.25289
1,17.9974,3.14901,-0.625563
1,23.6618,4.77713,0.500108
1,29.8135,5.02346,-3.22816
1,35.0488,-9.39739,3.78748
1,5.77674,-3.41394,-0.264684
1,7.03939,-3.8194,-0.475689
1,5.25463,-2.27088,1.42197
1,2.70468,2.22825,-1.26465
1,2.92804,-1.36758,0.0946396
1,4.87042,-3.16361,-0.279683
1,8.86114,-2.89428,0.851551
1,15.1525,-2.59391,1.4565
1,22.1476,-3.46522,1.62567
1,29.5156,1.5958,-1.44659
1,36.7136,5.19622,-1.91822
1,42.1505,11.2968,-7.99511
1,4.1617,-3.26666,-0.839018
1,5.29673,-2.05197,-0.553173
1,8.16278,1.91992,-0.522432
1,9.86891,4.00013,-0.0891181
1,12.412,4.32864,-0.142496
1,15.5997,3.67424,-0.743592
1,17.5519,4.07264,-0.284883
1,20.4016,5.77276,1.55355
1,27.5205,4.5393,3.47582
1,36.2406,8.48782,-1.93411
1,43.8721,11.6307,-6.94644
1,49.2996,14.6751,-11.3309
1,-4.24515,3.44144,0.157823
1,-5.5915,2.73246,-0.761833
1,4.61099,-1.84309,1.06048
1,11.2842,1.99753,0.992621
1,18.7169,4.27237,-0.119543
1,24.6698,5.79356,-1.52804
1,27.5725,7.24984,-1.66011
1,27.6182,10.4984,2.47465
1,31.2068,11.0436,8.04581
1,40.5852,12.5019,1.49233
1,48.8203,13.5746,-11.2658
1,54.7796,-18.4327,13.8588
1,3.63621,1.63033,-0.107577
1,2.63165,-2.24099,-0.399646
1,7.17676,-5.82905,1.25719
1,15.7493,-8.51959,1.36375
1,22.94,-9.48394,-0.512384
1,28.8673,-7.84079,-3.60808
1,32.3082,-6.25705,-4.1119
